degree,clean,cluster
Industrial Ecology (Master 2022-2023) - Prospectus - Universiteit Leiden,Industrial Ecology,223
Bioscience (master's two years) – University of Oslo,Bioscience,13
"History (Research): Politics, Culture and National Identities, 1789 to the Present (Master 2022-2023) - Prospectus - Universiteit Leiden",History Politics Culture National Identities 1789 the Present,102
Computer Science and Economics (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Computer Science Economics,2
Modern International and Transnational History – University of Oslo,Modern International Transnational History,3
Bachelor Cycle - Mathematics - EPFL,Mathematics,44
Education and Child Studies: Forensische gezinspedagogiek (Master 2022-2023) - Prospectus - Universiteit Leiden,Education Child Studies Forensische gezinspedagogiek,5
Certification French language test (TCF) - Catalogue des formations,Certification French language test,115
Informatics: Nanoelectronics and Robotics (master's 2 years) – University of Oslo,Informatics Nanoelectronics Robotics,277
Master in Urban planning and design  - Catalogue des formations,Urban planning design,18
Honours College Archaeology &amp; Society (Honours Education 2022-2023) - Prospectus - Universiteit Leiden,College Archaeology amp Society,254
Middle Eastern Studies: Persian (Bachelor 2022-2023) - Prospectus - Universiteit Leiden,Middle Eastern Studies Persian,4
Master&#39;s Programme in Public Health (one-year),Public Health,17
"Asian Studies (60 EC): History, Arts and Culture of Asia (Master 2022-2023) - Prospectus - Universiteit Leiden",Asian Studies History Arts Culture Asia,125
Civil Law (Master 2022-2023) - Prospectus - Universiteit Leiden,Civil Law,45
Latijns-Amerikastudies (Spaans/Portugees) (Minor 2022-2023) - Prospectus - Universiteit Leiden,Latijns Amerikastudies,287
Master&#39;s Programme in Management,Management,240
University degree of French studies B2 (DUEF) - Catalogue des formations,degree French studies,35
Kindermishandeling en verwaarlozing: een levensloopperspectief (interdisciplinaire minor) (Minor 2022-2023) - Prospectus - Universiteit Leiden,Kindermishandeling verwaarlozing een levensloopperspectief,246
Professional bachelor&#039;s degree for computer networks and telecommunication - Catalogue des formations,Professional 039 degree for computer networks telecommunication,196
"Master in Electronics, electrical energy, automation - Catalogue des formations",Electronics electrical energy automation,52
Master Cycle - Statistics - EPFL,Statistics,247
"History: Politics, Culture and National Identities, 1789 to the Present (Master 2022-2023) - Prospectus - Universiteit Leiden",History Politics Culture National Identities 1789 the Present,102
Biology: Biology and Science Communication &amp; Society (Master 2022-2023) - Prospectus - Universiteit Leiden,Biology Biology Science Communication amp Society,178
Language and Culture Education: German (Master 2022-2023) - Prospectus - Universiteit Leiden,Language Culture Education German,126
